"CertificateOfOrigin","EUCitizen","Perishable","Fragile","Volume","PreDeclared","MultiplePackage","Category","OnlineDeclaration","ExporterValidation","SecuredDelivery","LithiumBatteries","ExpressDelivery","EntryPoint","Origin","PaperlessBilling","PaymentMethod","Weight","Price","Inspection","packageID"
"Yes",0,"No","No",9,"Yes","No","Clothing","No","No","No","No","No","Antwerp","China","Yes","Mailed check",45.15,438.4,"Yes","2219-MVUSO"
"No",0,"Yes","Yes",73,"Yes","No","Electronics","Yes","Yes","Yes","Yes","Yes","Brussels","Africa","Yes","Bank transfer (automatic)",108.65,7726.35,"No","1053-MXTTK"
"No",0,"Yes","No",50,"No",NA,"Clothing","Yes","No","No","No","Yes","Antwerp","China","No","Bank transfer (automatic)",40.65,2070.75,"No","1530-ZTDOZ"
"Yes",0,"Yes","Yes",30,"No",NA,"Clothing","Yes","Yes","Yes","Yes","No","Brussels","US","Yes","Credit card (automatic)",55.35,1636.95,"No","1301-LOPVR"
"Yes",0,"Yes","No",73,"Yes","Yes","Electronics","Yes","Yes","Yes","Yes","No","Brussels","Africa","No","Bank transfer (automatic)",105.6,7581.5,"No","0853-TWRVK"
"Yes",0,"Yes","No",32,"Yes","Yes","Electronics","No","Yes","Yes","No","Yes","Antwerp","China","No","Electronic check",93.8,3019.5,"Yes","8914-RBTSB"
"No",0,"No","No",51,"Yes","Yes","Electronics","No","No","No","No","Yes","Brussels","China","Yes","Electronic check",95.7,4729.75,"No","6212-ATMLK"
"Yes",0,"Yes","No",72,"Yes","Yes","Clothing","Yes","No","Yes","Yes","Yes","Brussels","Africa","No","Electronic check",83.2,6126.1,"No","8200-LGKSR"
"Yes",1,"Yes","No",71,"Yes","Yes","Clothing","Yes","Yes","Yes","Yes","Yes","Brussels","Africa","No","Credit card (automatic)",90.05,6333.4,"No","1568-BEKZM"
"Yes",0,"No","No",72,"Yes","Yes","Electronics","Yes","No","No","Yes","No","Brussels","US","No","Credit card (automatic)",97.65,6687.85,"No","0670-ANMUU"
"Yes",0,"Yes","Yes",62,"Yes","No","Clothing","Yes","Yes","Yes","Yes","No","Antwerp","Africa","Yes","Bank transfer (automatic)",68.05,4158.25,"No","6897-RWMUB"
"Yes",0,"No","No",33,"Yes","No","Electronics","No","No","No","Yes","Yes","Brussels","China","Yes","Electronic check",96.2,3183.4,"Yes","0963-ZBDRN"
"No",0,"No","Yes",2,"Yes","No","Electronics","No","No","No","No","No","Brussels","China","Yes","Electronic check",79.6,79.6,"Yes","7594-RQHXR"
"Yes",0,"No","No",69,"Yes","Yes","Electronics","Yes","Yes","Yes","No","No","Brussels","Africa","Yes","Bank transfer (automatic)",102.1,7149.35,"No","6999-CHVCF"
"Yes",0,"No","No",63,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Bank transfer (automatic)",23.4,1429.65,"No","6134-KWTBV"
"No",0,"No","Yes",8,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","Yes","Electronic check",71.05,472.65,"No","1077-HUUJM"
"Yes",0,"No","No",21,"Yes","Yes","Electronics","No","No","No","No","Yes","Antwerp","China","Yes","Electronic check",85.25,1734.5,"Yes","6331-EWIEB"
"Yes",0,"Yes","Yes",7,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","No","Mailed check",19.45,113.5,"No","0895-LNKRC"
"No",1,"No","No",34,"No",NA,"Clothing","Yes","Yes","Yes","No","Yes","Brussels","China","Yes","Bank transfer (automatic)",59.45,1884.65,"No","2045-BMBTJ"
"Yes",0,"Yes","Yes",29,"Yes","Yes","Electronics","No","No","No","No","Yes","Brussels","US","No","Bank transfer (automatic)",92.2,2568.15,"No","8417-GSODA"
"Yes",0,"No","No",28,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Credit card (automatic)",19.85,470,"No","5171-EPLKN"
"Yes",0,"No","No",8,"Yes","No","Clothing","No","No","No","No","No","Antwerp","China","No","Mailed check",43.9,278.4,"No","4452-QIIEB"
"Yes",0,"No","No",27,"Yes","Yes","Electronics","No","No","No","Yes","No","Antwerp","China","Yes","Electronic check",80.5,2088.8,"Yes","5998-VVEJY"
"Yes",1,"No","No",6,"Yes","Yes","Electronics","No","Yes","No","No","No","Brussels","China","Yes","Electronic check",89.8,502.6,"Yes","1624-NALOJ"
"Yes",1,"No","No",31,"Yes","Yes","Electronics","Yes","No","No","No","No","Brussels","China","Yes","Credit card (automatic)",90.5,2595.85,"No","6741-EGCBI"
"Yes",0,"No","No",64,"Yes","Yes","Electronics","No","Yes","No","No","No","Brussels","US","No","Credit card (automatic)",90.45,5825.5,"No","7820-ZYGNY"
"Yes",0,"No","No",2,"Yes","No","Clothing","No","Yes","No","No","No","Antwerp","China","Yes","Electronic check",50.75,50.75,"Yes","4317-VTEOA"
"No",0,"No","Yes",54,"Yes","Yes","Clothing","No","Yes","Yes","Yes","Yes","Brussels","US","Yes","Electronic check",84.6,4449.75,"No","9677-AVKED"
"No",0,"Yes","Yes",15,"Yes","No","Electronics","No","Yes","No","Yes","No","Brussels","China","Yes","Credit card (automatic)",89.65,1208.35,"Yes","1670-SVOWZ"
"No",0,"No","No",22,"Yes","No","Electronics","No","Yes","No","Yes","Yes","Brussels","China","Yes","Bank transfer (automatic)",99.15,1956.4,"No","2227-JRSJX"
"Yes",0,"No","No",18,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","No","Mailed check",19.95,310.6,"No","9847-HNVGP"
"Yes",0,"Yes","Yes",17,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Mailed check",20.5,290.55,"No","6696-YDAYZ"
"No",0,"No","No",36,"Yes","No","Clothing","No","No","Yes","No","No","Brussels","China","Yes","Electronic check",62.1,2096.1,"No","8980-WQFWL"
"No",1,"No","No",33,"Yes","No","Electronics","No","No","No","No","No","Brussels","China","Yes","Electronic check",79.5,2665,"No","1730-ZMAME"
"No",0,"Yes","Yes",29,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","Yes","Bank transfer (automatic)",19.55,543.8,"No","6506-EYCNH"
"No",0,"No","No",2,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","Yes","Mailed check",20.35,20.35,"No","4634-JLRJT"
"Yes",0,"No","No",60,"No",NA,"Clothing","No","No","No","Yes","Yes","Brussels","China","Yes","Electronic check",51.7,3005.8,"No","9501-UKKNL"
"No",0,"Yes","Yes",73,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","US","Yes","Bank transfer (automatic)",23.3,1623.15,"No","2560-QTSBS"
"Yes",0,"No","No",37,"Yes","No","Clothing","No","Yes","No","Yes","No","Brussels","US","Yes","Mailed check",65.4,2498.4,"Yes","7541-YLXCL"
"No",0,"No","No",41,"Yes","No","Clothing","Yes","Yes","No","No","Yes","Antwerp","China","No","Mailed check",65.1,2586,"No","4795-WRNVT"
"Yes",0,"Yes","Yes",41,"Yes","Yes","Electronics","No","No","Yes","No","No","Antwerp","China","Yes","Electronic check",81.2,3292.3,"No","6080-TCMYC"
"No",0,"No","Yes",10,"Yes","No","Clothing","No","No","Yes","Yes","Yes","Brussels","China","Yes","Mailed check",72.9,651.4,"Yes","0260-ZDLGK"
"Yes",0,"Yes","Yes",64,"Yes","No","Clothing","Yes","Yes","Yes","Yes","Yes","Antwerp","Africa","No","Credit card (automatic)",74.5,4674.55,"No","7860-UXCRM"
"No",0,"No","No",4,"Yes","No","Electronics","No","No","No","No","Yes","Antwerp","China","Yes","Electronic check",80.5,232.35,"No","6357-JJPQT"
"Yes",0,"Yes","Yes",41,"No",NA,"Clothing","No","Yes","Yes","Yes","Yes","Brussels","US","No","Mailed check",60.3,2448.5,"No","2292-XQWSV"
"Yes",0,"Yes","No",9,"Yes","No","Electronics","Yes","No","No","No","No","Antwerp","China","Yes","Mailed check",75,658.1,"No","9552-TGUZV"
"Yes",1,"Yes","No",35,"Yes","No","Electronics","Yes","No","No","Yes","Yes","Antwerp","US","No","Mailed check",90.15,3128.8,"No","5913-INRQV"
"Yes",0,"No","No",6,"No",NA,"Clothing","Yes","No","Yes","Yes","No","Antwerp","China","No","Mailed check",40,223.45,"Yes","8722-NGNBH"
"Yes",1,"No","No",10,"Yes","Yes","Electronics","No","Yes","No","No","Yes","Brussels","China","Yes","Credit card (automatic)",99.45,919.4,"Yes","6210-KBBPI"
"Yes",0,"Yes","No",10,"Yes","Yes","Clothing","No","Yes","Yes","No","No","Brussels","China","Yes","Credit card (automatic)",69.05,653.95,"No","9643-YBLUR"
"Yes",0,"Yes","Yes",32,"Yes","Yes","Clothing","No","No","No","No","No","Brussels","China","No","Bank transfer (automatic)",59.7,1825.5,"No","8734-FNWVH"
"No",0,"Yes","No",51,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","Yes","Bank transfer (automatic)",19.85,943.1,"No","9447-YPTBX"
"No",0,"No","No",3,"Yes","No","Electronics","Yes","Yes","No","Yes","No","Antwerp","China","Yes","Electronic check",86.25,181.65,"Yes","0133-BMFZO"
"No",0,"No","No",2,"Yes","No","Clothing","No","No","No","No","No","Antwerp","China","Yes","Electronic check",45.65,45.65,"Yes","6128-CZOMY"
"Yes",0,"No","No",9,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","Yes","Mailed check",70.1,551.35,"Yes","9540-JYROE"
"No",0,"No","No",10,"No",NA,"Clothing","No","Yes","No","No","No","Brussels","China","No","Electronic check",40.75,359.4,"No","9026-LHEVG"
"No",1,"No","No",3,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","Yes","Bank transfer (automatic)",70.2,115.95,"Yes","2260-USTRB"
"No",0,"No","No",4,"Yes","No","Clothing","Yes","Yes","No","No","No","Antwerp","China","No","Electronic check",55.35,165.2,"Yes","3656-TKRVZ"
"Yes",0,"Yes","No",26,"Yes","No","Electronics","No","No","No","Yes","Yes","Brussels","China","Yes","Credit card (automatic)",95.7,2338.35,"No","7011-CVEUC"
"Yes",1,"No","No",2,"Yes","No","Clothing","No","No","No","No","No","Antwerp","China","No","Electronic check",46.3,46.3,"No","6185-TASNN"
"No",0,"Yes","Yes",46,"Yes","Yes","Clothing","Yes","Yes","Yes","Yes","Yes","Antwerp","China","No","Mailed check",81.3,3541.1,"No","7925-PNRGI"
"Yes",1,"Yes","Yes",52,"Yes","Yes","Electronics","No","Yes","Yes","No","No","Antwerp","China","Yes","Electronic check",84.2,4146.05,"Yes","8623-TMRBY"
"No",0,"Yes","Yes",56,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Credit card (automatic)",20,1087.25,"No","1552-CZCLL"
"No",0,"No","No",39,"Yes","Yes","Clothing","Yes","Yes","Yes","No","No","Antwerp","China","Yes","Bank transfer (automatic)",66.15,2522.4,"No","3038-PQIUY"
"Yes",0,"No","No",3,"Yes","No","Clothing","No","No","No","No","No","Antwerp","China","No","Mailed check",45.85,81,"Yes","1501-SGHBW"
"Yes",0,"Yes","Yes",39,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Electronic check",19.6,717.3,"No","9313-CDOGY"
"Yes",0,"No","No",35,"Yes","No","Clothing","No","Yes","No","No","No","Antwerp","China","Yes","Electronic check",49.8,1734.2,"No","8148-BPLZQ"
"No",0,"Yes","No",71,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Brussels","US","Yes","Electronic check",101.75,7069.3,"No","2623-DRYAM"
"No",0,"No","No",14,"Yes","No","Clothing","Yes","No","No","Yes","No","Antwerp","US","No","Mailed check",55.15,742.9,"No","9987-LUTYD"
"Yes",0,"No","No",40,"Yes","Yes","Electronics","No","No","No","No","No","Antwerp","China","No","Electronic check",75.25,3017.65,"Yes","3208-YPIOE"
"No",0,"No","No",62,"Yes","Yes","Electronics","No","Yes","Yes","No","Yes","Brussels","US","Yes","Electronic check",103.95,6423,"No","4488-KQFDT"
"No",0,"No","No",13,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Brussels","China","Yes","Bank transfer (automatic)",100.15,1164.3,"Yes","2612-RANWT"
"Yes",0,"No","No",42,"Yes","No","Electronics","No","Yes","No","Yes","Yes","Brussels","Africa","Yes","Credit card (automatic)",99.65,4220.35,"No","5693-PIPCS"
"Yes",0,"No","No",22,"Yes","Yes","Electronics","No","No","No","No","No","Antwerp","China","Yes","Electronic check",73.7,1558.7,"No","0491-KAPQG"
"Yes",1,"No","No",56,"No",NA,"Clothing","No","No","Yes","No","Yes","Brussels","US","Yes","Bank transfer (automatic)",50.05,2743.45,"No","1925-LFCZZ"
"Yes",0,"Yes","No",70,"No",NA,"Clothing","Yes","No","Yes","Yes","Yes","Brussels","Africa","No","Bank transfer (automatic)",60.25,4055.5,"No","8039-EQPIM"
"Yes",1,"Yes","Yes",27,"Yes","Yes","Electronics","No","Yes","Yes","No","Yes","Brussels","China","No","Electronic check",105.75,2710.25,"Yes","6900-PXRMS"
"No",1,"Yes","No",70,"Yes","No","Electronics","Yes","Yes","No","No","No","Brussels","US","No","Credit card (automatic)",87.3,6055.55,"No","8707-RMEZH"
"No",1,"Yes","No",19,"No",NA,"Clothing","No","No","Yes","No","Yes","Brussels","China","Yes","Electronic check",48.35,810.7,"Yes","3346-BRMIS"
"Yes",0,"Yes","Yes",48,"Yes","Yes","Clothing","No","Yes","No","No","No","Antwerp","China","No","Electronic check",54.25,2538.2,"No","3209-ZPKFI"
"No",0,"Yes","Yes",73,"Yes","No","Clothing","Yes","Yes","Yes","Yes","Yes","Brussels","Africa","No","Bank transfer (automatic)",85.3,6129.2,"No","6479-VDGRK"
"Yes",1,"Yes","No",34,"No",NA,"Clothing","No","Yes","Yes","Yes","Yes","Antwerp","China","Yes","Electronic check",50,1750.85,"No","9373-WSLOY"
"No",0,"Yes","Yes",3,"No",NA,"Clothing","No","No","No","No","No","Antwerp","China","Yes","Mailed check",24.4,36.55,"Yes","2933-FILNV"
"No",0,"Yes","Yes",73,"Yes","Yes","Clothing","Yes","Yes","Yes","Yes","Yes","Brussels","Africa","No","Credit card (automatic)",90.95,6652.45,"No","3569-JFODW"
"Yes",1,"Yes","No",38,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","Yes","Bank transfer (automatic)",72.25,2575.45,"No","9819-FBNSV"
"No",1,"Yes","Yes",63,"Yes","Yes","Electronics","No","Yes","Yes","No","No","Brussels","China","Yes","Credit card (automatic)",96.1,6019.35,"No","9544-PYPSJ"
"No",0,"Yes","No",72,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Credit card (automatic)",19.85,1379.6,"No","1591-XWLGB"
"Yes",0,"No","Yes",24,"Yes","No","Clothing","No","Yes","No","Yes","No","Antwerp","China","Yes","Bank transfer (automatic)",55.3,1284.2,"No","0396-UKGAI"
"No",0,"No","No",17,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","No","Mailed check",20.1,296.15,"No","3243-ZHOHY"
"Yes",0,"No","No",10,"Yes","No","Clothing","Yes","No","Yes","Yes","Yes","Antwerp","China","Yes","Mailed check",69.5,653.25,"No","5186-EJEGL"
"Yes",0,"Yes","Yes",18,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","Yes","Mailed check",25.15,412.6,"No","7527-QNRUS"
"No",0,"No","No",5,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Bank transfer (automatic)",20.95,85.5,"Yes","9986-BONCE"
"No",1,"Yes","No",2,"Yes","No","Clothing","Yes","No","No","No","No","Antwerp","China","Yes","Electronic check",49.55,49.55,"Yes","2722-JMONI"
"No",0,"Yes","No",25,"Yes","Yes","Electronics","No","No","Yes","No","No","Antwerp","China","Yes","Mailed check",79.65,1928.7,"No","2203-GHNWN"
"No",1,"No","No",2,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","Yes","Electronic check",71.25,71.25,"No","3878-AVSOQ"
"Yes",1,"No","No",73,"Yes","Yes","Electronics","Yes","Yes","Yes","Yes","Yes","Brussels","Africa","No","Bank transfer (automatic)",113.8,7845.8,"No","3258-SYSWS"
"No",0,"Yes","No",73,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Electronic check",24.55,1750.7,"No","5296-PSYVW"
"No",0,"No","Yes",12,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Credit card (automatic)",19.7,216.2,"No","6319-QSUSR"
"Yes",0,"No","No",10,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Mailed check",20.25,178.5,"Yes","4083-EUGRJ"
"No",1,"Yes","No",3,"Yes","No","Clothing","No","Yes","No","No","No","Antwerp","China","No","Credit card (automatic)",50.15,115.1,"Yes","7579-OOPEC"
"No",1,"Yes","No",61,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Brussels","US","Yes","Credit card (automatic)",100.5,6029,"No","0512-FLFDW"
"Yes",1,"Yes","No",30,"Yes","Yes","Electronics","No","Yes","Yes","No","No","Brussels","China","Yes","Electronic check",95.9,2745.2,"Yes","1771-OADNZ"
"No",0,"No","No",50,"Yes","No","Clothing","No","No","Yes","Yes","Yes","Brussels","Africa","Yes","Bank transfer (automatic)",74.45,3721.9,"No","0487-CRLZF"
"No",1,"No","No",31,"Yes","Yes","Electronics","No","Yes","Yes","No","Yes","Brussels","China","Yes","Electronic check",104.1,3121.1,"No","2107-FBPTK"
"No",0,"Yes","No",54,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","No","Credit card (automatic)",19.05,990.45,"No","9451-WLYRI"
"Yes",0,"No","Yes",40,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Mailed check",25,1004.35,"No","8219-VYBVI"
"No",0,"No","No",10,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Mailed check",19.05,157.65,"No","1991-VOPLL"
"Yes",0,"No","No",40,"Yes","No","Electronics","No","No","Yes","Yes","No","Antwerp","US","No","Electronic check",81.9,3219.75,"No","9738-QLWTP"
"Yes",1,"No","No",9,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","Yes","Electronic check",69.7,572.85,"No","1016-DJTSV"
"No",0,"Yes","Yes",52,"Yes","Yes","Electronics","No","No","Yes","No","No","Brussels","US","Yes","Electronic check",90.15,4554.85,"No","9419-IPPBE"
"Yes",0,"Yes","Yes",72,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Credit card (automatic)",25.35,1847.55,"No","0174-QRVVY"
"Yes",1,"No","No",72,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","Yes","Mailed check",24.65,1766.75,"No","5699-BNCAS"
"No",1,"Yes","No",71,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","Yes","Credit card (automatic)",19.55,1462.05,"No","2900-PHPLN"
"No",1,"No","No",2,"No",NA,"Clothing","No","No","No","No","No","Antwerp","China","No","Electronic check",25.25,25.25,"Yes","0612-RTZZA"
"Yes",0,"Yes","No",39,"No",NA,"Clothing","Yes","Yes","No","Yes","Yes","Brussels","Africa","Yes","Bank transfer (automatic)",60,2193.2,"No","8106-GWQOK"
"No",0,"Yes","No",29,"Yes","No","Electronics","No","Yes","Yes","No","No","Brussels","China","No","Credit card (automatic)",89.9,2433.5,"No","8751-EDEKA"
"No",0,"Yes","No",33,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Bank transfer (automatic)",19.4,641.15,"No","6878-GGDWG"
"Yes",1,"Yes","No",50,"Yes","No","Clothing","No","Yes","No","No","No","Antwerp","Africa","No","Mailed check",49.8,2398.4,"No","4039-PIMHX"
"No",0,"Yes","Yes",38,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","Yes","Bank transfer (automatic)",24.1,861.85,"No","8450-LUGUK"
"No",0,"No","No",11,"Yes","No","Clothing","No","No","Yes","Yes","No","Antwerp","China","No","Electronic check",54.25,583,"No","3604-WLABM"
"Yes",0,"Yes","No",68,"Yes","Yes","Electronics","Yes","Yes","Yes","No","Yes","Brussels","US","No","Credit card (automatic)",109.9,7332.4,"No","0795-GMVQO"
"Yes",0,"No","No",8,"No",NA,"Clothing","No","No","Yes","Yes","No","Antwerp","US","Yes","Credit card (automatic)",35.5,249.55,"No","2259-OUUSZ"
"No",0,"No","No",52,"Yes","No","Electronics","No","No","No","No","Yes","Brussels","US","No","Credit card (automatic)",87.55,4475.9,"No","1142-IHLOO"
"No",0,"No","No",10,"Yes","No","Clothing","No","No","No","No","No","Antwerp","China","No","Electronic check",45.15,416.45,"Yes","6410-LEFEN"
"No",0,"No","No",10,"Yes","No","Electronics","No","No","No","No","Yes","Brussels","China","Yes","Mailed check",88.4,788.6,"No","4633-MKHYU"
"Yes",0,"No","No",5,"Yes","No","Clothing","No","No","No","Yes","No","Antwerp","China","Yes","Mailed check",50.8,202.3,"No","6257-RJOHI"
"Yes",0,"Yes","No",72,"Yes","Yes","Electronics","Yes","Yes","Yes","No","Yes","Antwerp","Africa","Yes","Electronic check",99,6994.6,"No","1545-JFUML"
"No",0,"Yes","Yes",51,"Yes","Yes","Electronics","No","No","No","No","Yes","Antwerp","China","Yes","Bank transfer (automatic)",84.4,4116.15,"Yes","3194-ORPIK"
"No",1,"Yes","Yes",25,"Yes","No","Electronics","No","No","Yes","No","Yes","Brussels","Africa","Yes","Electronic check",96.55,2263.45,"No","7826-VVKWT"
"Yes",0,"Yes","No",23,"Yes","No","Clothing","Yes","No","No","No","Yes","Antwerp","US","Yes","Bank transfer (automatic)",59.75,1374.35,"No","1353-GHZOS"
"Yes",0,"No","No",45,"Yes","Yes","Electronics","Yes","Yes","Yes","No","Yes","Brussels","China","Yes","Electronic check",111.5,4915.15,"No","2587-EKXTS"
"No",0,"Yes","Yes",34,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","China","No","Bank transfer (automatic)",24.25,838.5,"No","5442-BXVND"
"No",0,"No","No",2,"Yes","Yes","Electronics","No","No","No","No","No","Antwerp","China","Yes","Electronic check",75.1,75.1,"Yes","8816-VXNZD"
"No",0,"Yes","No",55,"Yes","Yes","Clothing","No","No","No","No","Yes","Brussels","US","Yes","Credit card (automatic)",70.15,3715.65,"Yes","9378-FXTIZ"
"Yes",0,"No","No",43,"Yes","Yes","Electronics","No","Yes","No","No","Yes","Brussels","China","Yes","Electronic check",101.75,4273.45,"Yes","1723-HKXJQ"
"No",0,"No","No",2,"Yes","No","Clothing","No","No","No","No","No","Antwerp","China","No","Electronic check",45.8,45.8,"Yes","7825-GKXMW"
"No",0,"No","No",2,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","No","Mailed check",20.5,20.5,"No","9753-OYLBX"
"Yes",0,"No","No",31,"Yes","No","Clothing","Yes","Yes","No","Yes","Yes","Antwerp","US","No","Electronic check",70.4,2044.75,"No","2364-UFROM"
"No",0,"No","No",2,"No",NA,"Clothing","No","No","No","Yes","No","Antwerp","China","No","Mailed check",30.55,30.55,"No","6656-JWRQX"
"Yes",0,"Yes","Yes",17,"Yes","Yes","Clothing","Yes","Yes","No","Yes","Yes","Brussels","China","No","Electronic check",84.9,1398.25,"No","6473-ULUHT"
"Yes",0,"No","No",2,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","Yes","Mailed check",20.1,20.1,"Yes","1240-KNSEZ"
"Yes",0,"Yes","No",10,"No",NA,"Clothing","No","No","No","Yes","Yes","Antwerp","China","No","Mailed check",40.65,328.95,"Yes","0836-SEYLU"
"Yes",1,"Yes","No",47,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Brussels","China","Yes","Electronic check",101,4680.05,"Yes","4433-JCGCG"
"Yes",0,"No","No",2,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","Yes","Electronic check",69.1,69.1,"Yes","3716-BDVDB"
"Yes",0,"Yes","No",72,"Yes","No","Clothing","Yes","No","No","Yes","No","Antwerp","Africa","No","Bank transfer (automatic)",54.5,3778.2,"No","7688-AWMDX"
"Yes",0,"No","No",44,"Yes","Yes","Electronics","No","No","No","No","No","Antwerp","China","Yes","Credit card (automatic)",75.35,3161.4,"No","2842-BCQGE"
"Yes",0,"Yes","No",51,"No",NA,"Clothing","Yes","No","No","Yes","Yes","Antwerp","US","Yes","Bank transfer (automatic)",44.45,2188.45,"No","7244-QWYHG"
"No",0,"No","No",14,"Yes","Yes","Electronics","No","No","No","No","No","Antwerp","China","Yes","Mailed check",75,999.45,"Yes","5899-MQZZL"
"Yes",0,"Yes","Yes",20,"Yes","No","Electronics","No","Yes","No","Yes","Yes","Brussels","US","No","Bank transfer (automatic)",100,1888.65,"Yes","6849-OYAMU"
"No",0,"No","No",42,"Yes","Yes","Electronics","No","No","Yes","No","Yes","Brussels","China","No","Bank transfer (automatic)",98.05,3990.6,"No","5312-UXESG"
"No",1,"No","No",2,"Yes","No","Electronics","No","No","No","No","No","Antwerp","China","Yes","Electronic check",71.15,71.15,"Yes","9488-HGMJH"
"No",0,"No","No",25,"No",NA,"Clothing","No","Yes","Yes","No","Yes","Brussels","China","Yes","Credit card (automatic)",54.15,1240.25,"Yes","6038-GCYEC"
"No",0,"Yes","No",41,"Yes","Yes","Clothing","No","Yes","No","No","Yes","Antwerp","US","No","Bank transfer (automatic)",63.9,2635,"No","2150-WLKUW"
"No",0,"Yes","Yes",4,"Yes","Yes","Clothing","No","Yes","Yes","No","Yes","Antwerp","China","Yes","Bank transfer (automatic)",69.15,235,"No","7159-FVYPK"
"No",0,"No","No",38,"Yes","Yes","Clothing","Yes","No","No","No","Yes","Antwerp","US","No","Bank transfer (automatic)",64.65,2347.85,"No","7032-LMBHI"
"No",0,"Yes","Yes",68,"Yes","Yes","Electronics","Yes","No","Yes","Yes","Yes","Brussels","Africa","Yes","Credit card (automatic)",108.75,7156.2,"Yes","1150-WFARN"
"No",0,"Yes","Yes",33,"Yes","Yes","Electronics","No","Yes","No","No","Yes","Brussels","China","Yes","Electronic check",98.85,3089.6,"No","6088-BXMRG"
"No",0,"Yes","No",7,"Yes","No","Clothing","No","No","No","Yes","No","Antwerp","China","Yes","Electronic check",49.15,270.8,"Yes","3144-AUDBS"
"No",0,"Yes","Yes",33,"Yes","Yes","Electronics","Yes","No","No","No","Yes","Antwerp","China","No","Electronic check",89.6,2901.8,"No","4821-SJHJV"
"No",0,"No","No",60,"Yes","Yes","Electronics","No","Yes","Yes","No","No","Antwerp","China","Yes","Electronic check",83.25,4949.1,"No","7346-MEDWM"
"No",0,"Yes","No",31,"Yes","No","Clothing","No","Yes","Yes","Yes","No","Brussels","US","No","Bank transfer (automatic)",70.25,2198.9,"No","1137-DGOWI"
"Yes",0,"No","Yes",21,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","China","Yes","Electronic check",19.4,374.5,"Yes","5616-PRTNT"
"No",0,"Yes","Yes",28,"Yes","Yes","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Electronic check",24.5,761.95,"No","3812-LRZIR"
"No",1,"No","No",21,"Yes","Yes","Electronics","Yes","No","No","No","No","Antwerp","China","Yes","Electronic check",79.15,1520.9,"Yes","4818-QIUFN"
"Yes",0,"No","Yes",10,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","US","No","Mailed check",20.1,190.25,"No","9483-GCPWE"
"No",0,"Yes","Yes",69,"Yes","Yes","Clothing","Yes","Yes","Yes","No","Yes","Antwerp","US","Yes","Credit card (automatic)",73,5163,"No","4227-OJHAL"
"No",0,"Yes","Yes",70,"Yes","Yes","Clothing","Yes","No","No","Yes","No","Antwerp","Africa","No","Credit card (automatic)",61.4,4059.85,"No","9220-CXRSC"
"Yes",0,"No","No",27,"Yes","Yes","Electronics","No","No","Yes","Yes","No","Antwerp","China","Yes","Mailed check",84.3,2281.6,"No","4993-JCRGJ"
"Yes",0,"Yes","Yes",70,"Yes","No","Other",NA,NA,NA,NA,NA,"Other","Africa","No","Bank transfer (automatic)",19.9,1356.7,"No","9537-JALFH"
